ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,err_max_1,err_max_2,err_max_3,err_avg_1,err_avg_2,err_avg_3,pbase
1,1,0.5858829021453857,118,LOCALLY_SOLVED,12.682893241554012,rwlav,10.0,rIVR,0.0024227062446826597,0.000518127476151653,0.00040065692814361675,0.0023467177450161073,0.00042710700781499537,0.00039500397945790947,100.0
1,2,0.10772395133972168,67,LOCALLY_SOLVED,7.0218629200611336,rwlav,10.0,rIVR,0.002384807922245935,0.00048832100898899,0.00040868998757348507,0.002338814184789304,0.0004179941280130068,0.0003969167839275316,100.0
1,3,0.1433238983154297,82,LOCALLY_SOLVED,8.92995737482142,rwlav,10.0,rIVR,0.0023617672849656213,0.0004542751199736461,0.00039930394159393146,0.002337714826589277,0.0004195807000351484,0.0003953277972170426,100.0
1,4,0.30815792083740234,157,LOCALLY_SOLVED,17.228001927659033,rwlav,10.0,rIVR,0.0025318653866348573,0.000526269550688907,0.00040114106479149925,0.0023460508927992223,0.00042499876905479955,0.0003956872159159803,100.0
2,1,0.754364013671875,364,LOCALLY_SOLVED,40.62335863561669,rwlav,10.0,rIVR,0.0024731679395813,0.0005842434883447378,0.0004036997391585473,0.0023418073207142768,0.0004334285423996643,0.00039061702763807803,100.0
2,2,0.5937259197235107,283,LOCALLY_SOLVED,33.05837689067036,rwlav,10.0,rIVR,0.0024223685756004087,0.0005092540352933383,0.00040369105416604434,0.0023442294204573492,0.0004221352938759981,0.000386600395727307,100.0
2,3,0.46691298484802246,232,LOCALLY_SOLVED,26.14726719900375,rwlav,10.0,rIVR,0.002487072340958907,0.000467865484336194,0.00039839712028499896,0.0023553509258673446,0.00041956621478920613,0.00039433298706716374,100.0
2,4,0.456373929977417,247,LOCALLY_SOLVED,25.455449231903145,rwlav,10.0,rIVR,0.002850745177857439,0.0008516858702465324,0.0004172197991125781,0.002370788300240363,0.0004455360733102576,0.00038647408742872993,100.0
2,5,0.07753896713256836,53,LOCALLY_SOLVED,5.143967602274201,rwlav,10.0,rIVR,0.002398242073344825,0.00045980188833238955,0.0004102536035905935,0.0023418658003516828,0.00041950511950440147,0.00039742018102088226,100.0
3,1,0.5430169105529785,191,LOCALLY_SOLVED,21.666924549643035,rwlav,10.0,rIVR,0.002553592364893831,0.0004576368091064875,0.0004267058698677051,0.0023508820685414597,0.0004178561816290417,0.00039464731800350675,100.0
3,2,0.29372382164001465,141,LOCALLY_SOLVED,15.724274650156092,rwlav,10.0,rIVR,0.0025350889901896156,0.00043970154288741625,0.00043379017125411146,0.0023656678264732905,0.00041894667287372566,0.00039556745582519214,100.0
3,3,0.5702700614929199,208,LOCALLY_SOLVED,23.33406280902584,rwlav,10.0,rIVR,0.0024592615946399388,0.0004673402092112422,0.0003989102176256143,0.0023502855043325117,0.00042069133162075196,0.00039559996195511995,100.0
3,4,0.2032299041748047,79,LOCALLY_SOLVED,8.701983966140435,rwlav,10.0,rIVR,0.0023875064402574253,0.00043104720554887344,0.00040236635054391456,0.002340759604472192,0.0004180965331774192,0.00039561641350191153,100.0
3,5,0.11116695404052734,44,LOCALLY_SOLVED,4.674570217595667,rwlav,10.0,rIVR,0.0023990021190842814,0.0004277090797906169,0.0004138746908833868,0.0023409551363213765,0.00041644710953177413,0.00039715188426411104,100.0
3,6,0.17522382736206055,103,LOCALLY_SOLVED,11.305418377035835,rwlav,10.0,rIVR,0.0023947022604764445,0.0004440207212634828,0.0004002299400998055,0.0023416491767378005,0.00041849734342126754,0.00039528989728532894,100.0
