solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,err_max_1,err_max_2,err_max_3,err_avg_1,err_avg_2,err_avg_3,n_meas,pbase
0.5865168571472168,118,LOCALLY_SOLVED,1.2691989235139585,rwlav,100.0,rIVR,0.0024190294150263636,0.0005146793820203222,0.000403952504716365,0.002345749572373188,0.0004259630428059452,0.00039575810693254595,168.0,100.0
0.26720404624938965,118,LOCALLY_SOLVED,0.8120941871493303,rwlav,100.0,rIVR,0.00242913231865427,0.0004993214084103581,0.0004050051296595747,0.002340781603394471,0.00042148849912274127,0.00039601404402657815,165.0,100.0
0.247877836227417,118,LOCALLY_SOLVED,0.45558324902804614,rwlav,100.0,rIVR,0.0024419372288049246,0.0005105788571999614,0.0004320812349809522,0.00234495085451596,0.0004252195872631724,0.00039521072706458264,162.0,100.0
0.1880509853363037,118,LOCALLY_SOLVED,0.010887054581296554,rwlav,100.0,rIVR,0.0024054352284581526,0.00044267461489444493,0.000436966053921628,0.0023381679224031768,0.0004139295428754859,0.0004023885362234171,159.0,100.0
0.18941807746887207,118,LOCALLY_SOLVED,0.0076566098396012305,rwlav,100.0,rIVR,0.0023722517747968297,0.0004262970744179917,0.0004285484626875835,0.002338100622810295,0.0004167522842467029,0.0003986404287640205,156.0,100.0
0.18464207649230957,118,LOCALLY_SOLVED,0.006517275737924362,rwlav,100.0,rIVR,0.002381598351338887,0.0004270771829733011,0.0004262406982993294,0.002337101163416521,0.00041675062402910483,0.0003975478282366214,153.0,100.0
0.2074418067932129,118,LOCALLY_SOLVED,0.0059501198381701455,rwlav,100.0,rIVR,0.002371832646008931,0.00042911231689668483,0.000428867540551936,0.002337383114607889,0.0004168046196888242,0.000399287516700409,150.0,100.0
0.2075178623199463,118,LOCALLY_SOLVED,0.005331381425159252,rwlav,100.0,rIVR,0.00237774810310154,0.00042690559496305625,0.00042850334555022407,0.0023381128940573362,0.000416718591209371,0.0003993387169885745,147.0,100.0
0.19716691970825195,118,LOCALLY_SOLVED,0.0051582058907601236,rwlav,100.0,rIVR,0.0023768851438157323,0.00042699315232530566,0.00042870505547543125,0.0023387681257696137,0.0004170229539173909,0.00040003075973981,144.0,100.0
0.21467804908752441,118,LOCALLY_SOLVED,0.0036311766273297713,rwlav,100.0,rIVR,0.002389650022660783,0.0004677669428709841,0.00043843708669899506,0.0023401231820925333,0.0004182706801227898,0.0003986248815510468,141.0,100.0
0.20284605026245117,118,LOCALLY_SOLVED,0.002879300841118592,rwlav,100.0,rIVR,0.002375515709434506,0.0004776549556191334,0.00045347603852818885,0.002338975255040074,0.0004188317856660896,0.0003982717885382384,138.0,100.0
0.171051025390625,118,LOCALLY_SOLVED,0.002555366312481895,rwlav,100.0,rIVR,0.002381185387797524,0.0004817242623480489,0.00045903816031311884,0.002338480519557024,0.0004184038710845523,0.00039757085742524623,135.0,100.0
0.17958402633666992,118,LOCALLY_SOLVED,0.0023012947268466993,rwlav,100.0,rIVR,0.0023880601077752583,0.00043318392520208526,0.00041648816783279585,0.002338943900472027,0.0004170484170201415,0.00039669118336218125,132.0,100.0
0.18627119064331055,118,LOCALLY_SOLVED,0.002164274432790048,rwlav,100.0,rIVR,0.0023800702621392666,0.000433610697684772,0.0004171527588381352,0.0023384493357400415,0.00041746652652198895,0.0003966068680978054,129.0,100.0
0.1804370880126953,118,LOCALLY_SOLVED,0.0021350288325016156,rwlav,100.0,rIVR,0.002378467939700757,0.0004338754468689032,0.00041714002505433,0.0023384764911730436,0.00041746010685750345,0.00039659609247521253,126.0,100.0
0.17853999137878418,118,LOCALLY_SOLVED,0.0020060062841919706,rwlav,100.0,rIVR,0.002377845186062988,0.0004224313490692744,0.0004144392386165041,0.0023383056788063446,0.0004165562996233931,0.000395981586053095,123.0,100.0
0.17880892753601074,118,LOCALLY_SOLVED,0.0016655188535673999,rwlav,100.0,rIVR,0.002379782684404086,0.0004214124071422187,0.00041363028090457554,0.0023382847603185173,0.0004164689662686662,0.0003960926896819824,120.0,100.0
0.17654895782470703,118,LOCALLY_SOLVED,0.0015804750822113352,rwlav,100.0,rIVR,0.0023800664821209683,0.00042259199534067093,0.00042591622166820997,0.0023381503190608205,0.00041635142431040726,0.00039563018756546685,117.0,100.0
0.17713117599487305,118,LOCALLY_SOLVED,0.0010642073526121356,rwlav,100.0,rIVR,0.0023847250090547334,0.0004231104027547783,0.0004505170808792869,0.00233810872486787,0.00041604476043622957,0.00039504785942861637,114.0,100.0
0.16572904586791992,118,LOCALLY_SOLVED,0.001414723006217179,rwlav,100.0,rIVR,0.002396002521915852,0.0004355969745883925,0.0004561835197267605,0.0023386491207253615,0.00041559457890464203,0.00039503213056591823,111.0,100.0
0.16617894172668457,118,LOCALLY_SOLVED,0.0013382525753977007,rwlav,100.0,rIVR,0.002441148581138197,0.00045647712316965183,0.00048306985337820407,0.0023394430218250883,0.0004152757975576953,0.0003946854231297159,108.0,100.0
0.16274094581604004,118,LOCALLY_SOLVED,0.0012755809905995762,rwlav,100.0,rIVR,0.002428797515839687,0.00044994520769692237,0.0005354612467975972,0.002339272723726149,0.00041536687910684745,0.0003949251732889574,105.0,100.0
0.16265106201171875,118,LOCALLY_SOLVED,0.0011965880549218656,rwlav,100.0,rIVR,0.0024012217845812422,0.0004411585166383958,0.0005353801234215805,0.0023389142239430166,0.00041564507350495096,0.0003951712018701827,102.0,100.0
