form,resc,crit,nobd_obj,nobd_conv,bd_obj,bd_conv,power_base
acr,10000,rwls,0.9910227525368502,LOCALLY_SOLVED,0.9910513356463349,LOCALLY_SOLVED,100.0
acp,10000,rwls,0.000680497490023158,LOCALLY_SOLVED,0.0006980129329363051,LOCALLY_SOLVED,100.0
ivr,10000,rwls,0.9910227527008819,LOCALLY_SOLVED,0.9910513358138372,LOCALLY_SOLVED,100.0
acr,10000,wlav,0.013020318786063493,LOCALLY_SOLVED,0.03719553971342707,LOCALLY_SOLVED,100.0
acp,10000,wlav,0.023017450216607154,LOCALLY_SOLVED,0.03723824007398831,LOCALLY_SOLVED,100.0
ivr,10000,wlav,0.02501725538830975,LOCALLY_SOLVED,0.0373634054136471,LOCALLY_SOLVED,100.0
acr,10000,rwlav,0.013251241409978942,LOCALLY_SOLVED,0.03744140058677705,LOCALLY_SOLVED,100.0
acp,10000,rwlav,0.013034682245847336,LOCALLY_SOLVED,0.037441412963738756,LOCALLY_SOLVED,100.0
ivr,10000,rwlav,0.013269772510447706,LOCALLY_SOLVED,0.03744150818314944,LOCALLY_SOLVED,100.0
acr,10000,wls,0.9906779084380968,LOCALLY_SOLVED,0.9907757571570193,LOCALLY_SOLVED,100.0
acp,10000,wls,0.00011789320082632092,LOCALLY_SOLVED,0.00021847769728833833,LOCALLY_SOLVED,100.0
ivr,10000,wls,0.9906862166603903,LOCALLY_SOLVED,0.9907526662848565,LOCALLY_SOLVED,100.0
acr,100000,rwls,0.01050989440456142,LOCALLY_SOLVED,0.010510191593092579,LOCALLY_SOLVED,100.0
acp,100000,rwls,0.0006843993915858456,LOCALLY_SOLVED,0.0006845387158508253,LOCALLY_SOLVED,100.0
ivr,100000,rwls,0.010509296206335035,LOCALLY_SOLVED,0.010509387960704449,LOCALLY_SOLVED,100.0
acr,100000,wlav,0.7846528471136939,LOCALLY_SOLVED,0.786971373366865,LOCALLY_SOLVED,100.0
acp,100000,wlav,3.1950697007615694,LOCALLY_SOLVED,0.003860446775029367,LOCALLY_SOLVED,100.0
ivr,100000,wlav,0.7846514057154284,LOCALLY_SOLVED,0.7868611799807917,LOCALLY_SOLVED,100.0
acr,100000,rwlav,0.20443764758742927,LOCALLY_SOLVED,0.2447616052503318,LOCALLY_SOLVED,100.0
acp,100000,rwlav,0.0018269686494397344,LOCALLY_SOLVED,0.003945583152959304,LOCALLY_SOLVED,100.0
ivr,100000,rwlav,0.7849666759218409,LOCALLY_SOLVED,0.787336372409868,LOCALLY_SOLVED,100.0
acr,100000,wls,0.010015194242561969,LOCALLY_SOLVED,0.010133425869815695,LOCALLY_SOLVED,100.0
acp,100000,wls,0.0001110039052674319,LOCALLY_SOLVED,0.00011185264801141806,LOCALLY_SOLVED,100.0
ivr,100000,wls,0.00022776953143511578,LOCALLY_SOLVED,0.00023382124404557986,LOCALLY_SOLVED,100.0
