form,resc,crit,nobd_obj,nobd_conv,bd_obj,bd_conv,power_base
ivr,1000,wls,0.005518339775217527,NUMERICAL_ERROR,270.819463120746,NUMERICAL_ERROR,100000.0
acr,10000,rwls,0.9559645689773347,LOCALLY_SOLVED,0.9564557856427338,LOCALLY_SOLVED,100000.0
acp,10000,rwls,0.0,TIME_LIMIT,0.0,TIME_LIMIT,100000.0
ivr,10000,rwls,0.924858142741435,LOCALLY_SOLVED,0.9247019331952897,LOCALLY_SOLVED,100000.0
acr,10000,wlav,0.02243625890902976,LOCALLY_SOLVED,0.82003640708451,LOCALLY_SOLVED,100000.0
acp,10000,wlav,0.022240108340980294,LOCALLY_SOLVED,0.7958966573921091,LOCALLY_SOLVED,100000.0
ivr,10000,wlav,0.022366824529663414,LOCALLY_SOLVED,0.9012771144449097,LOCALLY_SOLVED,100000.0
acr,10000,rwlav,0.018745962248438684,LOCALLY_SOLVED,0.7921610814034552,LOCALLY_SOLVED,100000.0
acp,10000,rwlav,0.018734552839578495,LOCALLY_SOLVED,0.7923910881275883,LOCALLY_SOLVED,100000.0
ivr,10000,rwlav,0.01873477918854208,LOCALLY_SOLVED,0.7923911252742633,LOCALLY_SOLVED,100000.0
acr,10000,wls,0.9908842144626534,LOCALLY_SOLVED,1.2074795861061571,NUMERICAL_ERROR,100000.0
acp,10000,wls,0.00023969875560880596,LOCALLY_SOLVED,0.030292142741962638,LOCALLY_SOLVED,100000.0
ivr,10000,wls,0.9908842233750916,LOCALLY_SOLVED,1.0277157986109258,NUMERICAL_ERROR,100000.0
acr,100000,rwls,0.01000890585213227,LOCALLY_SOLVED,0.010011974733284001,LOCALLY_SOLVED,100000.0
acp,100000,rwls,27.657730370276383,NUMERICAL_ERROR,18.866556513572927,NUMERICAL_ERROR,100000.0
ivr,100000,rwls,0.009003735808112992,LOCALLY_SOLVED,0.00923016445186342,LOCALLY_SOLVED,100000.0
acr,100000,wlav,0.7856132860992492,LOCALLY_SOLVED,0.8635489687959729,LOCALLY_SOLVED,100000.0
acp,100000,wlav,0.0023101973272150666,LOCALLY_SOLVED,0.07985436054825865,LOCALLY_SOLVED,100000.0
ivr,100000,wlav,0.785579881482925,LOCALLY_SOLVED,0.8635120043203908,LOCALLY_SOLVED,100000.0
acr,100000,rwlav,0.0396338151569237,LOCALLY_SOLVED,0.11732790655608177,LOCALLY_SOLVED,100000.0
acp,100000,rwlav,0.0024056888314106894,LOCALLY_SOLVED,0.0797442684617363,LOCALLY_SOLVED,100000.0
ivr,100000,rwlav,0.06552847077751155,LOCALLY_SOLVED,0.14290579906304388,LOCALLY_SOLVED,100000.0
acr,100000,wls,0.010122289629202953,LOCALLY_SOLVED,0.010684045754807628,LOCALLY_SOLVED,100000.0
acp,100000,wls,6.9380653751927275,ALMOST_LOCALLY_SOLVED,20.526183537027475,NUMERICAL_ERROR,100000.0
ivr,100000,wls,0.01012846414897971,LOCALLY_SOLVED,0.010533989715762913,LOCALLY_SOLVED,100000.0
