ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,pbase
5,6,0.013763189315795898,38,OPTIMAL,1.416396342789765,rwlav,100.0,linIVR,100.0
5,6,0.09731388092041016,38,LOCALLY_SOLVED,0.2816484565827509,rwlav,100.0,rIVR,100.0
5,7,0.02115607261657715,48,OPTIMAL,1.8689034023996793,rwlav,100.0,linIVR,100.0
5,7,0.13062000274658203,48,LOCALLY_SOLVED,0.3610286227156974,rwlav,100.0,rIVR,100.0
5,8,0.05186796188354492,84,OPTIMAL,3.009299257175706,rwlav,100.0,linIVR,100.0
5,8,0.24924206733703613,84,LOCALLY_SOLVED,0.582701608916883,rwlav,100.0,rIVR,100.0
6,1,0.29709506034851074,201,OPTIMAL,8.941668526105492,rwlav,100.0,linIVR,100.0
6,1,0.8698289394378662,201,LOCALLY_SOLVED,1.7504163279039509,rwlav,100.0,rIVR,100.0
6,2,0.07213401794433594,89,OPTIMAL,4.2826180771462,rwlav,100.0,linIVR,100.0
6,2,0.32740092277526855,89,LOCALLY_SOLVED,0.8189100306920412,rwlav,100.0,rIVR,100.0
7,1,0.13137078285217285,139,OPTIMAL,5.104799201627432,rwlav,100.0,linIVR,100.0
7,1,0.484515905380249,139,LOCALLY_SOLVED,1.0654985319734678,rwlav,100.0,rIVR,100.0
7,2,0.08424711227416992,121,OPTIMAL,4.504021668375874,rwlav,100.0,linIVR,100.0
7,2,0.3186500072479248,121,LOCALLY_SOLVED,0.8797211758197019,rwlav,100.0,rIVR,100.0
7,3,0.06209993362426758,107,OPTIMAL,3.9205456733208437,rwlav,100.0,linIVR,100.0
7,3,0.3680129051208496,107,LOCALLY_SOLVED,0.7619298279831604,rwlav,100.0,rIVR,100.0
7,4,0.3657348155975342,358,OPTIMAL,13.00889057580431,rwlav,100.0,linIVR,100.0
7,4,2.142350912094116,358,LOCALLY_SOLVED,2.7712901004796247,rwlav,100.0,rIVR,100.0
7,5,0.07996582984924316,127,OPTIMAL,4.843310284520907,rwlav,100.0,linIVR,100.0
7,5,0.32115983963012695,127,LOCALLY_SOLVED,0.9269020740555115,rwlav,100.0,rIVR,100.0
7,6,0.011695146560668945,29,OPTIMAL,1.8787069602049613,rwlav,100.0,linIVR,100.0
7,6,0.0936269760131836,29,LOCALLY_SOLVED,0.3704964931669306,rwlav,100.0,rIVR,100.0
7,7,0.016505956649780273,39,OPTIMAL,1.7938334435995607,rwlav,100.0,linIVR,100.0
7,7,0.07381296157836914,39,LOCALLY_SOLVED,0.34631890866774284,rwlav,100.0,rIVR,100.0
