ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,n_meas
1,1,1.1550002098083496,118,LOCALLY_SOLVED,135.05916520130967,rwlav,100.0,rIVR,mumps,1.0e-5,0.0024443930508666334,0.0010964756455386776,168
1,1,1.2000000476837158,118,LOCALLY_SOLVED,131.5638647319332,rwlav,100.0,rIVR,mumps,1.0e-5,0.002526387200015634,0.0010952267659862594,165
1,1,1.4040000438690186,118,LOCALLY_SOLVED,124.25865411435569,rwlav,100.0,rIVR,mumps,1.0e-5,0.023739429090599895,0.0013777797829167126,162
1,1,1.2420001029968262,118,LOCALLY_SOLVED,118.6763974340835,rwlav,100.0,rIVR,mumps,1.0e-5,0.02478314745804866,0.001367000122657957,159
1,1,1.371999979019165,118,LOCALLY_SOLVED,114.48595122867826,rwlav,100.0,rIVR,mumps,1.0e-5,0.05267792818132788,0.0018640005379574685,156
1,1,1.128000020980835,118,LOCALLY_SOLVED,108.80560696238847,rwlav,100.0,rIVR,mumps,1.0e-5,0.07387719080686228,0.002286764510660983,153
1,1,1.4710001945495605,118,LOCALLY_SOLVED,98.50257651251576,rwlav,100.0,rIVR,mumps,1.0e-5,0.1354183263349127,0.002955287822437791,150
1,1,29.66100001335144,118,LOCALLY_SOLVED,90.63388432807366,rwlav,100.0,rIVR,mumps,1.0e-5,0.13541854286417032,0.003396640629284698,147
1,1,7.317000150680542,118,LOCALLY_SOLVED,82.12062748057087,rwlav,100.0,rIVR,mumps,1.0e-5,0.1380543285226319,0.004507772394016756,144
1,1,3.324000120162964,118,LOCALLY_SOLVED,81.35536003165564,rwlav,100.0,rIVR,mumps,1.0e-5,0.11964300988642784,0.004753961354120129,141
1,1,4.4070000648498535,118,LOCALLY_SOLVED,77.65927482060886,rwlav,100.0,rIVR,mumps,1.0e-5,0.16647798646009215,0.007126649463619586,138
1,1,3.4160001277923584,118,LOCALLY_SOLVED,68.75893972771674,rwlav,100.0,rIVR,mumps,1.0e-5,0.16647786914196228,0.006304651345897528,135
1,1,1.7410001754760742,118,LOCALLY_SOLVED,63.163601612645444,rwlav,100.0,rIVR,mumps,1.0e-5,0.16647742773817098,0.007601960832820683,132
1,1,2.55400013923645,118,LOCALLY_SOLVED,57.20135700653752,rwlav,100.0,rIVR,mumps,1.0e-5,0.1397176461654086,0.007657739105882237,129
1,1,1.8900001049041748,118,LOCALLY_SOLVED,52.15457966335906,rwlav,100.0,rIVR,mumps,1.0e-5,0.13971726694339592,0.006976926403962187,126
1,1,1.2990000247955322,118,LOCALLY_SOLVED,42.88419610043232,rwlav,100.0,rIVR,mumps,1.0e-5,0.14040471170501556,0.007556022452251428,123
1,1,1.121000051498413,118,LOCALLY_SOLVED,37.35186819734593,rwlav,100.0,rIVR,mumps,1.0e-5,0.13971130144067545,0.007331709371298167,120
1,1,1.1549999713897705,118,LOCALLY_SOLVED,32.411327972567435,rwlav,100.0,rIVR,mumps,1.0e-5,0.13971712391791247,0.007623775153953928,117
1,1,1.2219998836517334,118,LOCALLY_SOLVED,28.47345457851488,rwlav,100.0,rIVR,mumps,1.0e-5,0.1399992931210723,0.008385358798545165,114
1,1,1.1650002002716064,118,LOCALLY_SOLVED,27.153311590448723,rwlav,100.0,rIVR,mumps,1.0e-5,0.13990221245675016,0.009147172674561147,111
1,1,1.3360002040863037,118,LOCALLY_SOLVED,25.09751758185596,rwlav,100.0,rIVR,mumps,1.0e-5,0.16440329313769075,0.010633253280891392,108
1,1,1.11899995803833,118,LOCALLY_SOLVED,24.144696687873576,rwlav,100.0,rIVR,mumps,1.0e-5,0.14018542524198918,0.010647170834041462,105
1,1,1.1119999885559082,118,LOCALLY_SOLVED,15.003669022121818,rwlav,100.0,rIVR,mumps,1.0e-5,0.14229961424095838,0.010377651332337296,102
1,1,2.371000051498413,118,LOCALLY_SOLVED,9.890461278679604,rwlav,100.0,rIVR,mumps,1.0e-5,0.16076541723244375,0.010932273523241276,99
1,1,1.7969999313354492,118,LOCALLY_SOLVED,9.134511659920909,rwlav,100.0,rIVR,mumps,1.0e-5,0.1607399804640932,0.012225706347835569,96
1,1,2.3359999656677246,118,LOCALLY_SOLVED,9.050159935174449,rwlav,100.0,rIVR,mumps,1.0e-5,0.13921298751901534,0.012189558861714203,93
1,1,1.4880001544952393,118,LOCALLY_SOLVED,9.52472181446486,rwlav,100.0,rIVR,mumps,1.0e-5,0.15949226854017995,0.016129592549939988,90
1,1,2.0410001277923584,118,LOCALLY_SOLVED,5.978942938167063,rwlav,100.0,rIVR,mumps,1.0e-5,0.14543435194461374,0.014503394334772907,87
1,1,1.511000156402588,118,LOCALLY_SOLVED,5.86548608131764,rwlav,100.0,rIVR,mumps,1.0e-5,0.16074203972202428,0.01923664232468835,84
1,1,1.2409999370574951,118,LOCALLY_SOLVED,5.298491837328431,rwlav,100.0,rIVR,mumps,1.0e-5,0.16069624133560423,0.022432006469304207,81
1,1,1.2929999828338623,118,LOCALLY_SOLVED,5.121144101205239,rwlav,100.0,rIVR,mumps,1.0e-5,0.16071238220122053,0.025748800454926613,78
1,1,1.5319998264312744,118,LOCALLY_SOLVED,3.7899833314068045,rwlav,100.0,rIVR,mumps,1.0e-5,0.15878111864917244,0.028620146182786226,75
1,1,1.5260000228881836,118,LOCALLY_SOLVED,1.1539716709365446,rwlav,100.0,rIVR,mumps,1.0e-5,0.158293152739575,0.027130893622043583,72
