ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,err_max_1,err_max_2,err_max_3,err_avg_1,err_avg_2,err_avg_3,pbase
1,1,0.6579849720001221,118,LOCALLY_SOLVED,1.2677176492759918,rwlav,100.0,rIVR,0.0024237734778524977,0.000518830139622839,0.00040058016119570716,0.0023469455326731096,0.00042757527978916566,0.0003949019608017153,100.0
1,2,0.12011599540710449,67,LOCALLY_SOLVED,0.7020076445918346,rwlav,100.0,rIVR,0.0023860859692457215,0.00048814506838756877,0.0004088522852738752,0.0023387537300503477,0.0004179167304741446,0.0003969654024669134,100.0
1,3,0.2395467758178711,82,LOCALLY_SOLVED,0.8924733036920007,rwlav,100.0,rIVR,0.002361984363393743,0.0004539051666314631,0.00039881691002863207,0.0023376931094011614,0.0004196245587200464,0.00039556754625372833,100.0
1,4,0.48404598236083984,157,LOCALLY_SOLVED,1.718786269831931,rwlav,100.0,rIVR,0.0025311730748176497,0.0005260910107447447,0.00040124015898101995,0.0023459473424902494,0.00042506334285475424,0.00039566825149566447,100.0
2,1,0.8797919750213623,364,LOCALLY_SOLVED,4.056296346711043,rwlav,100.0,rIVR,0.0024731539966038607,0.000583976346925974,0.0004036130704707652,0.002341890027295669,0.000433305690685533,0.00039016785619329104,100.0
2,2,0.7455778121948242,283,LOCALLY_SOLVED,3.294285090330811,rwlav,100.0,rIVR,0.002423751089756454,0.0005076205435248227,0.0004031991246065125,0.0023441669096098223,0.00042201594984590037,0.0003868678823126984,100.0
2,3,0.5886609554290771,232,LOCALLY_SOLVED,2.609032878804474,rwlav,100.0,rIVR,0.002483769199605801,0.00046812194258238904,0.0003986673662932372,0.002355168342001415,0.00041954646725257243,0.0003947131551030928,100.0
2,4,0.520050048828125,247,LOCALLY_SOLVED,2.5448630185752905,rwlav,100.0,rIVR,0.002850269549977247,0.0008518282201097627,0.00041723143099803295,0.0023706289355807223,0.0004455614636280681,0.00038638442617932965,100.0
2,5,0.1842479705810547,53,LOCALLY_SOLVED,0.5143284886916504,rwlav,100.0,rIVR,0.0023964228741730764,0.0004576667564573089,0.0004010526070844511,0.0023417083669935593,0.0004192994791678059,0.0003966431221823392,100.0
3,1,0.7501430511474609,191,LOCALLY_SOLVED,2.1651640909545242,rwlav,100.0,rIVR,0.00255406245832579,0.0004572572208623171,0.00042708246578970765,0.0023510417730339944,0.00041781180562730285,0.000394552138387653,100.0
3,2,0.4295651912689209,141,LOCALLY_SOLVED,1.5700394051726505,rwlav,100.0,rIVR,0.002535066494552485,0.00043994076903586254,0.00043408303272274296,0.0023658268363634266,0.0004191665761005262,0.00039556169852182605,100.0
3,3,0.946774959564209,208,LOCALLY_SOLVED,2.3301320121063673,rwlav,100.0,rIVR,0.002458316022466933,0.0004676681037780739,0.0003991511112002577,0.002350366522536636,0.00042074646978632166,0.0003955846660392858,100.0
3,4,0.3034329414367676,79,LOCALLY_SOLVED,0.8699663970250364,rwlav,100.0,rIVR,0.0023871351088093906,0.0004286568083176068,0.0004024170556362616,0.002340724982703373,0.0004175999941298669,0.0003953466396039103,100.0
3,5,0.12878918647766113,44,LOCALLY_SOLVED,0.4673992919482056,rwlav,100.0,rIVR,0.00240018631899086,0.0004284825119833524,0.00041420324240148965,0.0023420502448170803,0.0004166142607676721,0.0003971584717030059,100.0
3,6,0.28345179557800293,103,LOCALLY_SOLVED,1.1304026326169505,rwlav,100.0,rIVR,0.002396327851032387,0.0004444270817944851,0.00040050948419700916,0.0023434282902233847,0.00041861267409088826,0.00039514608777077874,100.0
4,1,0.15848493576049805,54,LOCALLY_SOLVED,0.5400605962322269,rwlav,100.0,rIVR,0.0023669865748565666,0.0004187313327758124,0.0004005239643554148,0.002337503258354307,0.00041646552569216637,0.0003944189705217281,100.0
4,2,0.10555291175842285,36,LOCALLY_SOLVED,0.35093791174180333,rwlav,100.0,rIVR,0.002365605676483362,0.00042690233499287356,0.0003977910894676917,0.00234112733251663,0.0004163817059913792,0.00039606331279807964,100.0
4,3,0.11504387855529785,40,LOCALLY_SOLVED,0.3745372212149756,rwlav,100.0,rIVR,0.002355912127457227,0.000445099440329777,0.0003978835959981275,0.0023389624765505377,0.00041902211340700266,0.00039648426622785336,100.0
4,4,0.4184000492095947,180,LOCALLY_SOLVED,1.9576116080051817,rwlav,100.0,rIVR,0.002400909758818681,0.0004564574832719437,0.00039818263361390827,0.0023407500217115735,0.0004194847401953873,0.00039524482150417225,100.0
4,5,0.13032197952270508,45,LOCALLY_SOLVED,0.4461451594769682,rwlav,100.0,rIVR,0.002340162891101283,0.0004325086398548894,0.00040262771811749865,0.0023363732425392752,0.0004182360661557737,0.0003959235930124816,100.0
4,6,0.18528985977172852,60,LOCALLY_SOLVED,0.5634507573071458,rwlav,100.0,rIVR,0.002404264576963744,0.0004233479615105562,0.0003999629398778737,0.0023507036348574427,0.00041686350546949656,0.00039615319953298367,100.0
5,1,0.03311491012573242,12,LOCALLY_SOLVED,0.07618311425134489,rwlav,100.0,rIVR,0.0023441353388153896,0.0004188809660568005,0.00039802405144562236,0.002338312762668974,0.00041711780896792433,0.00039641342913294503,100.0
5,2,0.10888290405273438,40,LOCALLY_SOLVED,0.3983873619824882,rwlav,100.0,rIVR,0.0023417801147813666,0.0004189414898739807,0.0003989079268060802,0.002337200753418006,0.00041635279519119386,0.0003922695512348501,100.0
5,3,1.217026948928833,317,LOCALLY_SOLVED,3.462466349965671,rwlav,100.0,rIVR,0.0028031334350302473,0.0006994917301721415,0.0004177395785303073,0.0023551277721592166,0.0004262489080256954,0.00039288857567007165,100.0
5,4,0.1868760585784912,65,LOCALLY_SOLVED,0.6820971206769662,rwlav,100.0,rIVR,0.0023683448196925028,0.0004313694462196871,0.0004006122316864147,0.0023407602611777477,0.00041837163332987944,0.0003957598201483994,100.0
5,5,0.29155492782592773,104,LOCALLY_SOLVED,1.1217078249903794,rwlav,100.0,rIVR,0.002499219362487981,0.00044700286813581513,0.0004130332312828333,0.0023595569639215854,0.0004170628359523267,0.00039635481384968363,100.0
5,6,0.10538578033447266,38,LOCALLY_SOLVED,0.3738659813671938,rwlav,100.0,rIVR,0.002396867862975771,0.000435752377591081,0.00040971791400457036,0.0023455971621992866,0.00041932849921807867,0.000397966329384734,100.0
5,7,0.12729811668395996,48,LOCALLY_SOLVED,0.5173408968837441,rwlav,100.0,rIVR,0.0023618776258591545,0.00042400878415116416,0.00039839298608668194,0.0023394445736662447,0.0004171218684893609,0.00039601824602160385,100.0
5,8,0.219588041305542,84,LOCALLY_SOLVED,0.86989654718723,rwlav,100.0,rIVR,0.0023942846213897973,0.0004413611650659899,0.00040485839730064477,0.0023383266137404516,0.00041750973936242685,0.0003969089869699278,100.0
6,1,1.0008978843688965,201,LOCALLY_SOLVED,2.739190767896128,rwlav,100.0,rIVR,0.00238880864973523,0.0004597001340238549,0.00040187280169723394,0.0023391479738233563,0.0004187037359075199,0.0003935312618327849,100.0
6,2,0.4391050338745117,89,LOCALLY_SOLVED,1.2499469193682777,rwlav,100.0,rIVR,0.0023416479646608535,0.0004616077959493925,0.00040054935445477113,0.0023366943921810674,0.0004206058490958026,0.0003958900617653,100.0
7,1,0.610145092010498,139,LOCALLY_SOLVED,1.618679120934838,rwlav,100.0,rIVR,0.002589534684748651,0.00041929212523683645,0.000413628503317387,0.0023482851065144235,0.00041556443540477153,0.0003883749745794562,100.0
7,2,0.2871890068054199,121,LOCALLY_SOLVED,1.3393077452703528,rwlav,100.0,rIVR,0.0023727938492954515,0.0004421282289903683,0.00043652342928424126,0.0023385023400061752,0.0004109475451197697,0.0004013361389979817,100.0
7,3,0.242095947265625,107,LOCALLY_SOLVED,1.1514839659556768,rwlav,100.0,rIVR,0.002374087598387753,0.0004309726793176871,0.0004179743691197224,0.0023395097071088737,0.00040790580655378504,0.00039315275050111863,100.0
7,4,1.5475680828094482,358,LOCALLY_SOLVED,4.299113841388348,rwlav,100.0,rIVR,0.0023488392970900662,0.0007791485357733219,0.00046696300326531937,0.002323639233367997,0.00043380951567746515,0.00039064516561980326,100.0
7,5,0.42291998863220215,127,LOCALLY_SOLVED,1.4216577452964385,rwlav,100.0,rIVR,0.0023566599298860957,0.0004208048554142918,0.0004082088115167082,0.002337063027113172,0.0004160782146070272,0.00039571057985019246,100.0
7,6,0.0890660285949707,29,LOCALLY_SOLVED,0.5154888491939853,rwlav,100.0,rIVR,0.0023427253974590556,0.00045306786711263314,0.00039755582796052735,0.0023378487369833793,0.0004099788718776587,0.000396463905665692,100.0
7,7,0.08065295219421387,39,LOCALLY_SOLVED,0.4932683172770947,rwlav,100.0,rIVR,0.002388654761175779,0.0004206269808950669,0.0003977905495724521,0.002343379512625082,0.0004165928455337589,0.0003964818456173409,100.0
9,1,0.5693621635437012,172,LOCALLY_SOLVED,1.9874219323528888,rwlav,100.0,rIVR,0.002410481427835842,0.0004249464469512354,0.00040256875820321447,0.002351123051565619,0.000417398992850323,0.0003956330464982554,100.0
9,2,0.07508492469787598,25,LOCALLY_SOLVED,0.4699646804846813,rwlav,100.0,rIVR,0.002347325466673267,0.0004220504249203838,0.0003969746627587867,0.0023376406134672043,0.0004166494399304055,0.00039630443102588674,100.0
9,3,0.07784509658813477,24,LOCALLY_SOLVED,0.4462254952255291,rwlav,100.0,rIVR,0.002347159303048185,0.00042253680754611445,0.000396966667578047,0.0023376579004463307,0.00041668555968493726,0.0003963734115204019,100.0
9,4,0.07456302642822266,25,LOCALLY_SOLVED,0.4699537111510147,rwlav,100.0,rIVR,0.0023474093258335493,0.00042209209405852377,0.0003973408490109964,0.0023376615824505453,0.0004166130898210607,0.00039630983001823325,100.0
9,5,1.0836288928985596,252,LOCALLY_SOLVED,2.8900221228260383,rwlav,100.0,rIVR,0.002387372145592259,0.0005888394545774389,0.00040198428220672433,0.002339349585202647,0.0004443157430883741,0.0003933138091902673,100.0
9,6,0.09331607818603516,27,LOCALLY_SOLVED,0.4936673704283696,rwlav,100.0,rIVR,0.0023508325330980906,0.0004190988575898391,0.0003973655545375099,0.0023381200898538726,0.0004165472689610136,0.00039654318573389556,100.0
10,1,0.08559799194335938,30,LOCALLY_SOLVED,0.46990222287125727,rwlav,100.0,rIVR,0.002347498288055805,0.00042426096110625977,0.00039953286885285877,0.0023376931738075574,0.00041680100441974973,0.00039671694705453915,100.0
10,2,0.04336094856262207,16,LOCALLY_SOLVED,0.08959340790135221,rwlav,100.0,rIVR,0.0023393541562606313,0.00041637645344549945,0.0003973622957047507,0.002336711029207697,0.00041625253550157254,0.00039655855899784626,100.0
10,3,0.18920516967773438,46,LOCALLY_SOLVED,0.3262556462367775,rwlav,100.0,rIVR,0.0023744992103369444,0.0004186486102304432,0.00039762204846804927,0.0023425041542766774,0.0004163798956667635,0.00039426310213349345,100.0
10,4,0.08943605422973633,23,LOCALLY_SOLVED,0.13714380302977144,rwlav,100.0,rIVR,0.002345352073434448,0.000416848425204952,0.0003974345798591905,0.0023387163735227724,0.00041651891590860113,0.00039650259261058286,100.0
10,5,0.06587600708007812,24,LOCALLY_SOLVED,0.23206873364887023,rwlav,100.0,rIVR,0.002356690291847263,0.00041643426136495076,0.0003980594138246474,0.002341742588467921,0.000416260401797051,0.0003958349729437603,100.0
10,6,0.04933810234069824,19,LOCALLY_SOLVED,0.08955093205166982,rwlav,100.0,rIVR,0.002337681957547355,0.00042439901239998967,0.00039740633601237363,0.0023368331161937273,0.000418225503176337,0.0003964849677526451,100.0
11,1,0.09272480010986328,42,LOCALLY_SOLVED,0.7051898358125513,rwlav,100.0,rIVR,0.002349707736866602,0.0004716304244483105,0.00039771731277116196,0.0023386665658506837,0.0004216066458221791,0.00039628412704928185,100.0
11,2,0.027785062789916992,10,LOCALLY_SOLVED,0.0528494541579653,rwlav,100.0,rIVR,0.0023398653945008174,0.0004200185364320319,0.0004039856167901146,0.0023376918381634026,0.00041690050517600996,0.0003979290496887278,100.0
11,3,0.18337297439575195,65,LOCALLY_SOLVED,0.753220310084993,rwlav,100.0,rIVR,0.0024508752403098466,0.0004276847682569418,0.00039959927304500376,0.0023810235133811027,0.0004180597411449084,0.00039186746691949754,100.0
11,4,0.4281039237976074,114,LOCALLY_SOLVED,1.406845230483521,rwlav,100.0,rIVR,0.0024143445725255397,0.00043282360592544755,0.00040428044231699545,0.0023397316584012153,0.00041702570675430294,0.00039603811556719045,100.0
11,5,0.6960570812225342,157,LOCALLY_SOLVED,1.9929078063039343,rwlav,100.0,rIVR,0.0023621307913379574,0.00044389810566414223,0.0004051749070912436,0.002338597233161921,0.00041792201565182325,0.00038898481021181364,100.0
12,1,1.1150298118591309,247,LOCALLY_SOLVED,3.664892186903373,rwlav,100.0,rIVR,0.0023966792383902646,0.0004595197688201935,0.00040079728613751087,0.002338399908533482,0.00041748363066151256,0.00039594573150287794,100.0
12,2,0.6056528091430664,167,LOCALLY_SOLVED,1.9260266109679163,rwlav,100.0,rIVR,0.0024066758407221833,0.0005928617480595033,0.00041216128538268393,0.0023422568353115955,0.000442923854915478,0.00039476060086555856,100.0
12,3,0.6239109039306641,153,LOCALLY_SOLVED,2.1128327424049225,rwlav,100.0,rIVR,0.0026279437056755395,0.000463919978300531,0.0003995488167625183,0.0023699838699846524,0.00041911233745485125,0.0003953118155082113,100.0
13,1,0.26210498809814453,89,LOCALLY_SOLVED,1.0465870140776887,rwlav,100.0,rIVR,0.0024127539683600485,0.0004976500705917708,0.00040581165876685255,0.002346941977664913,0.00042514589925809565,0.00038512046723678146,100.0
13,2,0.19919300079345703,82,LOCALLY_SOLVED,0.847110047798864,rwlav,100.0,rIVR,0.0023611257209754655,0.0004564695645039585,0.0003972023628595611,0.002338850367951548,0.00041988691954045134,0.0003961334552776683,100.0
13,3,0.031157970428466797,10,LOCALLY_SOLVED,0.029032712110133103,rwlav,100.0,rIVR,0.0023373648924995827,0.0004170795542846051,0.00039651930035611294,0.0023363396977977846,0.00041643458411728674,0.00039611551952687394,100.0
13,4,1.0472159385681152,182,LOCALLY_SOLVED,137.81026707369097,rwlav,100.0,rIVR,0.008563881023206266,0.1283544880499884,0.0024687576646071907,0.002610392109215696,0.10722679400547602,0.0004972890819849655,100.0
15,1,0.42623186111450195,167,LOCALLY_SOLVED,1.7741824623873643,rwlav,100.0,rIVR,0.002441984074662562,0.0004998287545443514,0.0004033619785164255,0.002341476456071562,0.00041796612559418493,0.0003943699779227968,100.0
15,2,0.9453320503234863,200,LOCALLY_SOLVED,2.4878751764777447,rwlav,100.0,rIVR,0.0025207441892201032,0.00042788586358866176,0.00041054848538113475,0.0023602815699268085,0.0004174788489741388,0.000395923475899147,100.0
15,3,1.2158551216125488,306,LOCALLY_SOLVED,3.912913732470116,rwlav,100.0,rIVR,0.0024931815306321603,0.0005439179709787467,0.00042472414679006754,0.0023496955911946893,0.0004255594457273416,0.0003774099712045205,100.0
15,4,1.1078038215637207,260,LOCALLY_SOLVED,3.206959671275887,rwlav,100.0,rIVR,0.0024382978612345063,0.0005019890233073365,0.0004104516724059426,0.0023463483449226055,0.0004222602551641863,0.0003860283906966923,100.0
15,5,0.14765501022338867,49,LOCALLY_SOLVED,0.5149990445185526,rwlav,100.0,rIVR,0.0024131954352022422,0.0004209501030361107,0.00039965814405729105,0.00234915702389437,0.000416823055643761,0.0003962202609377061,100.0
15,6,0.49321794509887695,120,LOCALLY_SOLVED,1.5745673352586103,rwlav,100.0,rIVR,0.002376174462376923,0.00045845424532431345,0.00042247633458480927,0.00233976275757126,0.00042005607222308876,0.0003980542995407362,100.0
15,7,0.3672330379486084,100,LOCALLY_SOLVED,1.2460381025399316,rwlav,100.0,rIVR,0.0024182941446593276,0.00042580710086426166,0.00040419042592709786,0.0023425683987411696,0.0004166407671707595,0.0003965188458305791,100.0
16,1,0.16536498069763184,76,LOCALLY_SOLVED,0.9034860940838136,rwlav,100.0,rIVR,0.0023640744364008537,0.0004215919613721475,0.00039919154231093934,0.0023416907871503492,0.0004171872558635644,0.00039568676197552984,100.0
16,2,0.3410990238189697,150,LOCALLY_SOLVED,1.6787136162476388,rwlav,100.0,rIVR,0.002341332800995577,0.0005539749791028115,0.00039980778500270375,0.002337620643276493,0.0004222806776404934,0.0003965193838695491,100.0
16,3,0.2795569896697998,142,LOCALLY_SOLVED,1.5638580795421946,rwlav,100.0,rIVR,0.0024455087751393823,0.0005062041494505731,0.00040880779648366783,0.002336469828476302,0.00042084186436378365,0.0003962161026263043,100.0
16,4,0.26671791076660156,127,LOCALLY_SOLVED,1.333794280511055,rwlav,100.0,rIVR,0.0024642532453766908,0.00043129424625898416,0.0004038654631690619,0.002338257363050091,0.0004168143987783973,0.00038582876626660893,100.0
17,1,1.0003740787506104,378,LOCALLY_SOLVED,4.344355117048044,rwlav,100.0,rIVR,0.0024721750105847207,0.000621027537252905,0.0004107575248564199,0.002351505465454486,0.00043414352398666445,0.00038754208950907826,100.0
17,2,0.0395350456237793,19,LOCALLY_SOLVED,0.1713222940222769,rwlav,100.0,rIVR,0.00234911334047494,0.0004163686462741456,0.0003983234230988675,0.002338528858926638,0.00041610806033086004,0.00039585617396509817,100.0
17,3,0.3720359802246094,157,LOCALLY_SOLVED,1.8045923254507916,rwlav,100.0,rIVR,0.0024028608477419944,0.0005949313761872688,0.00040482042063860746,0.002341889769548783,0.0004441738325740019,0.0003947113757834608,100.0
17,4,0.41016697883605957,215,LOCALLY_SOLVED,2.4520569259603486,rwlav,100.0,rIVR,0.002580431694292784,0.00045375806648917383,0.0004171017131195942,0.0023581573206639126,0.0004187959738198302,0.0003953221503138216,100.0
17,5,2.0082919597625732,316,LOCALLY_SOLVED,3.6916803229921973,rwlav,100.0,rIVR,0.0025430094894800526,0.0005083878149607646,0.00041295268194718737,0.002359793073387762,0.0004247239465670873,0.00038623933023241723,100.0
17,6,1.0653128623962402,438,LOCALLY_SOLVED,5.187915986898228,rwlav,100.0,rIVR,0.002421765139767773,0.0005574596891282368,0.00042375009804285213,0.0023407092862490378,0.0004292163620187994,0.00038396433017594007,100.0
17,7,0.5487849712371826,221,LOCALLY_SOLVED,2.7851642405443577,rwlav,100.0,rIVR,0.0024747428922522463,0.0006541591392119628,0.0004048967651302249,0.002343885886717775,0.0004542231996499406,0.00039503694859614855,100.0
18,1,0.19591498374938965,106,LOCALLY_SOLVED,1.2880367751955832,rwlav,100.0,rIVR,0.0023924277669544747,0.0004463472529327994,0.000406388949368397,0.002339764381628866,0.00041785889378522455,0.0003950428718694829,100.0
18,2,0.15099620819091797,53,LOCALLY_SOLVED,0.5401205615129575,rwlav,100.0,rIVR,0.002338510069501476,0.0004380144432571953,0.00040181828280383414,0.002336972371075028,0.00041780392262411297,0.0003944853323377747,100.0
18,3,0.24457406997680664,110,LOCALLY_SOLVED,1.1624591619542801,rwlav,100.0,rIVR,0.0024072932417547044,0.000506744007815918,0.00041822801857449576,0.0023405245621944317,0.00041911732855294564,0.0003963407767923265,100.0
