form,resc,crit,nobd_obj,nobd_conv,bd_obj,bd_conv,power_base
acr,1,rwls,131.7569479604726,LOCALLY_SOLVED,2959.161849564468,LOCALLY_SOLVED,1.0
acp,1,rwls,131.75721079903397,LOCALLY_SOLVED,2959.1622943623443,LOCALLY_SOLVED,1.0
ivr,1,rwls,282.30130998680653,LOCALLY_INFEASIBLE,958.0794880964149,LOCALLY_INFEASIBLE,1.0
acr,1,wlav,259.0052170251412,LOCALLY_SOLVED,363.0764915065657,LOCALLY_SOLVED,1.0
acp,1,wlav,262.26810772249354,LOCALLY_SOLVED,363.30004212637766,LOCALLY_SOLVED,1.0
ivr,1,wlav,705.1624201767754,LOCALLY_SOLVED,939.6690695219993,LOCALLY_SOLVED,1.0
acr,1,rwlav,127.54212957895453,LOCALLY_SOLVED,362.6086778882288,LOCALLY_SOLVED,1.0
acp,1,rwlav,127.54227057802639,LOCALLY_SOLVED,362.6088408907466,LOCALLY_SOLVED,1.0
ivr,1,rwlav,698.0990556849332,LOCALLY_SOLVED,934.6287151636512,LOCALLY_SOLVED,1.0
acr,1,wls,11139.485213739215,NUMERICAL_ERROR,57589.758755958246,NUMERICAL_ERROR,1.0
acp,1,wls,3756.5012833328547,NUMERICAL_ERROR,29910.00666844168,NUMERICAL_ERROR,1.0
ivr,1,wls,110813.13589815577,LOCALLY_SOLVED,113698.46551658867,ITERATION_LIMIT,1.0
acr,10,rwls,1.3179138184942452,LOCALLY_SOLVED,29.591787723411418,LOCALLY_SOLVED,1.0
acp,10,rwls,1.3179142788321196,LOCALLY_SOLVED,29.591788586828496,LOCALLY_SOLVED,1.0
ivr,10,rwls,1108.147067649844,LOCALLY_SOLVED,1136.3968496290624,LOCALLY_SOLVED,1.0
acr,10,wlav,12.859252079462518,LOCALLY_SOLVED,36.500498597475286,LOCALLY_SOLVED,1.0
acp,10,wlav,26.22681417314229,LOCALLY_SOLVED,36.52734462670475,LOCALLY_SOLVED,1.0
ivr,10,wlav,70.51644526538612,LOCALLY_SOLVED,94.03944960597934,LOCALLY_SOLVED,1.0
acr,10,rwlav,12.754909064896117,LOCALLY_SOLVED,36.26155579515522,LOCALLY_SOLVED,1.0
acp,10,rwlav,12.754919378253987,LOCALLY_SOLVED,36.261569990162585,LOCALLY_SOLVED,1.0
ivr,10,rwlav,69.81060874422066,LOCALLY_SOLVED,93.46356128273828,LOCALLY_SOLVED,1.0
acr,10,wls,4.385011457773103,NUMERICAL_ERROR,160.76277214928058,NUMERICAL_ERROR,1.0
acp,10,wls,1.630459232772575,NUMERICAL_ERROR,299.28440777364744,NUMERICAL_ERROR,1.0
ivr,10,wls,2185.5800243900426,NUMERICAL_ERROR,1552.0061887376569,NUMERICAL_ERROR,1.0
acr,100,rwls,0.013576267559124623,LOCALLY_SOLVED,0.29629943498884637,LOCALLY_SOLVED,1.0
acp,100,rwls,0.013576521441865675,LOCALLY_SOLVED,0.29629947507121585,LOCALLY_SOLVED,1.0
ivr,100,rwls,11.08188007501779,LOCALLY_SOLVED,11.364363024257186,LOCALLY_SOLVED,1.0
acr,100,wlav,2.467046059664857,LOCALLY_SOLVED,3.6499687871695934,LOCALLY_SOLVED,1.0
acp,100,wlav,1.9546712596753013,LOCALLY_SOLVED,3.6309784720495255,LOCALLY_SOLVED,1.0
ivr,100,wlav,20.38326643715882,LOCALLY_SOLVED,22.06308265190246,LOCALLY_SOLVED,1.0
acr,100,rwlav,1.2761819314388705,LOCALLY_SOLVED,3.6268076581548754,LOCALLY_SOLVED,1.0
acp,100,rwlav,1.2761815120379543,LOCALLY_SOLVED,3.6268193111949465,LOCALLY_SOLVED,1.0
ivr,100,rwlav,6.9817559498397035,LOCALLY_SOLVED,9.346996488035668,LOCALLY_SOLVED,1.0
acr,100,wls,0.5771632005018953,NUMERICAL_ERROR,0.29641562598428645,LOCALLY_SOLVED,1.0
acp,100,wls,0.014351910389016767,NUMERICAL_ERROR,0.4831349030172605,NUMERICAL_ERROR,1.0
ivr,100,wls,11.082293727178367,LOCALLY_SOLVED,11.364769997940213,NUMERICAL_ERROR,1.0
acr,1000,rwls,99.04862761925497,LOCALLY_SOLVED,99.05169811452839,LOCALLY_SOLVED,1.0
acp,1000,rwls,0.000751268244684637,LOCALLY_SOLVED,0.0035447849841260645,LOCALLY_SOLVED,1.0
ivr,1000,rwls,1.7196552768085658,LOCALLY_SOLVED,1.7220031805646916,LOCALLY_SOLVED,1.0
acr,1000,wlav,0.1928429435316164,LOCALLY_SOLVED,0.36372798133715173,LOCALLY_SOLVED,1.0
acp,1000,wlav,0.1286169875996233,LOCALLY_SOLVED,0.3638158777817576,LOCALLY_SOLVED,1.0
ivr,1000,wlav,0.7746740355253243,LOCALLY_SOLVED,0.9363012118359774,LOCALLY_SOLVED,1.0
acr,1000,rwlav,0.12824843073448453,LOCALLY_SOLVED,0.36321904773364244,LOCALLY_SOLVED,1.0
acp,1000,rwlav,0.1282506300524273,LOCALLY_SOLVED,0.36321929905955697,LOCALLY_SOLVED,1.0
ivr,1000,rwlav,0.6988183761962813,LOCALLY_SOLVED,0.9349545411937609,LOCALLY_SOLVED,1.0
acr,1000,wls,99.04874063592159,LOCALLY_SOLVED,99.05171698035122,LOCALLY_SOLVED,1.0
acp,1000,wls,0.0006035338516967277,LOCALLY_SOLVED,0.003248900271383441,LOCALLY_SOLVED,1.0
ivr,1000,wls,99.15856622436482,LOCALLY_SOLVED,99.16149677564113,LOCALLY_SOLVED,1.0
acr,10000,rwls,0.9910290101740695,LOCALLY_SOLVED,0.9910561143184383,LOCALLY_SOLVED,1.0
acp,10000,rwls,0.0006859202336815418,LOCALLY_SOLVED,0.0007001209292837289,LOCALLY_SOLVED,1.0
ivr,10000,rwls,0.001792803587527587,LOCALLY_SOLVED,0.0018094563868783172,LOCALLY_SOLVED,1.0
acr,10000,wlav,5.94602698063174,LOCALLY_SOLVED,5.968789114647404,LOCALLY_SOLVED,1.0
acp,10000,wlav,0.023017395946271897,LOCALLY_SOLVED,0.0364916227911544,LOCALLY_SOLVED,1.0
ivr,10000,wlav,7.902543000666075,LOCALLY_SOLVED,7.924833591441697,LOCALLY_SOLVED,1.0
acr,10000,rwlav,0.013254892358609192,LOCALLY_SOLVED,0.03670158149677207,LOCALLY_SOLVED,1.0
acp,10000,rwlav,0.01326212640586293,LOCALLY_SOLVED,0.0367015025921048,LOCALLY_SOLVED,1.0
ivr,10000,rwlav,0.0703772330520505,LOCALLY_SOLVED,0.09396173149878417,LOCALLY_SOLVED,1.0
acr,10000,wls,0.8480005114978655,LOCALLY_SOLVED,0.8480682774617789,LOCALLY_SOLVED,1.0
acp,10000,wls,0.00023666053363205052,LOCALLY_SOLVED,0.0001384209651330845,LOCALLY_SOLVED,1.0
ivr,10000,wls,0.0013473934210863406,LOCALLY_SOLVED,0.0013322511727737623,LOCALLY_SOLVED,1.0
acr,100000,rwls,0.010474181596922436,LOCALLY_SOLVED,0.010476633835828237,LOCALLY_SOLVED,1.0
acp,100000,rwls,0.0006853611210870209,LOCALLY_SOLVED,0.0006854955014872797,LOCALLY_SOLVED,1.0
ivr,100000,rwls,0.010495914356134133,LOCALLY_SOLVED,0.01049580046037656,LOCALLY_SOLVED,1.0
acr,100000,wlav,0.784656770242567,LOCALLY_SOLVED,0.7869025008041199,LOCALLY_SOLVED,1.0
acp,100000,wlav,0.0014314149195401706,LOCALLY_SOLVED,0.003771197670972387,LOCALLY_SOLVED,1.0
