solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,err_max_1,err_max_2,err_max_3,err_avg_1,err_avg_2,err_avg_3,n_meas,pbase
0.7467360496520996,118,LOCALLY_SOLVED,1.2677176492822073,rwlav,100.0,rIVR,0.002423773477863378,0.0005188301396599204,0.00040058016113686534,0.0023469455326739354,0.0004275752798017394,0.00039490196069121795,168.0,100.0
0.34934306144714355,118,LOCALLY_SOLVED,0.8112800634639051,rwlav,100.0,rIVR,0.002428207595758458,0.0005015312782654657,0.00040397505995737326,0.0023405215468742338,0.0004223091003310892,0.00039610466569548153,165.0,100.0
0.34004998207092285,118,LOCALLY_SOLVED,0.4543675750304179,rwlav,100.0,rIVR,0.0024406164896388916,0.0004990071252373163,0.00043110866222950683,0.0023454543927875888,0.0004246599760071654,0.00039535031185187255,162.0,100.0
0.28393101692199707,118,LOCALLY_SOLVED,0.010047700527619371,rwlav,100.0,rIVR,0.0024087187959327405,0.00044023539261783817,0.0004372159210850324,0.002338787108264681,0.00041395118972174674,0.00040287941818880377,159.0,100.0
0.3020968437194824,118,LOCALLY_SOLVED,0.006848532227925983,rwlav,100.0,rIVR,0.002382604844188174,0.00042480059753624566,0.0004255204912086974,0.0023386776422562707,0.0004164875547422138,0.00039798835268143657,156.0,100.0
0.30121517181396484,118,LOCALLY_SOLVED,0.005688174743972465,rwlav,100.0,rIVR,0.0023813702862438557,0.0004265847158977376,0.00042567687745975746,0.0023363663100714744,0.0004165343009557692,0.00039679028523606545,153.0,100.0
0.3085808753967285,118,LOCALLY_SOLVED,0.0051101207129118625,rwlav,100.0,rIVR,0.002374871206347162,0.00042766098056201685,0.0004298970662266477,0.0023366677929745894,0.000416567505570345,0.0003994503042182644,150.0,100.0
0.3155190944671631,118,LOCALLY_SOLVED,0.004980437446364,rwlav,100.0,rIVR,0.0023774575501886996,0.0004269531311482666,0.0004288252799635739,0.0023379284414606818,0.0004167142048133036,0.0003993440434695492,147.0,100.0
0.3401069641113281,118,LOCALLY_SOLVED,0.004843671234002746,rwlav,100.0,rIVR,0.0023788219434355273,0.00042711551184737573,0.0004305066313237127,0.0023387102657005257,0.0004171085879069833,0.0004000683742015907,144.0,100.0
0.3576948642730713,118,LOCALLY_SOLVED,0.002811601526582986,rwlav,100.0,rIVR,0.002396651917804027,0.00047289218109081155,0.00045411180470966706,0.0023404595774316993,0.00041844439312632334,0.00039843522834125946,141.0,100.0
0.3805520534515381,118,LOCALLY_SOLVED,0.0020425597174308432,rwlav,100.0,rIVR,0.0023786842974369282,0.0004679117059576132,0.00044918321075981815,0.002339562873510527,0.0004181488305704999,0.0003985375897356559,138.0,100.0
0.4224400520324707,118,LOCALLY_SOLVED,0.0017234314498197566,rwlav,100.0,rIVR,0.0023816868492692045,0.0004717114771819464,0.0004527857287390802,0.0023390869305785367,0.00041751699130756717,0.000397680530854672,135.0,100.0
0.34441590309143066,118,LOCALLY_SOLVED,0.0015008453150518611,rwlav,100.0,rIVR,0.0023870057771284703,0.0004307508023906337,0.0004141727667437145,0.0023393807945677188,0.00041648230710683294,0.00039680951330209937,132.0,100.0
0.32903099060058594,118,LOCALLY_SOLVED,0.00136417142746168,rwlav,100.0,rIVR,0.0023803142407237132,0.00044513190524830826,0.00043084230165502113,0.002339737167348908,0.00041715458185050526,0.00039703541282215164,129.0,100.0
0.3014810085296631,118,LOCALLY_SOLVED,0.0013488809017073496,rwlav,100.0,rIVR,0.002382367172936828,0.00044695570292163644,0.00043359542070575685,0.002339732920184683,0.0004171613681230172,0.00039706682757756725,126.0,100.0
0.3813748359680176,118,LOCALLY_SOLVED,0.0012282652057468508,rwlav,100.0,rIVR,0.0023911921925872104,0.0004240077260044828,0.0004127809159215623,0.0023380326307037044,0.00041679179126772665,0.0003961942188306216,123.0,100.0
0.368927001953125,118,LOCALLY_SOLVED,0.0008927020507561145,rwlav,100.0,rIVR,0.002392178002497136,0.00042429556532130874,0.00041819334989035006,0.0023385778096249735,0.0004162027243406968,0.0003964016542824823,120.0,100.0
0.41724514961242676,118,LOCALLY_SOLVED,0.0008160623150133946,rwlav,100.0,rIVR,0.002389098096227338,0.00042530106668370316,0.00043958477692540576,0.002337769575598132,0.0004161511685997229,0.0003955781068466182,117.0,100.0
0.352571964263916,118,LOCALLY_SOLVED,0.0007603013806178655,rwlav,100.0,rIVR,0.002369016120304268,0.0004274893523223966,0.0004533584170562932,0.002337556869129381,0.0004159467014195772,0.000394837960562239,114.0,100.0
0.3906898498535156,118,LOCALLY_SOLVED,0.0006660522746135169,rwlav,100.0,rIVR,0.0024006002108873936,0.0004359920692325048,0.00045080235977379424,0.002338496250781481,0.00041539541572754667,0.00039518695096503866,111.0,100.0
0.33272814750671387,118,LOCALLY_SOLVED,0.0006045270836012249,rwlav,100.0,rIVR,0.0024276686619590926,0.0004533235611385855,0.0004740017595488144,0.002339774437332694,0.0004150167957132586,0.0003950372216488454,108.0,100.0
0.33716487884521484,118,LOCALLY_SOLVED,0.0005569388703726415,rwlav,100.0,rIVR,0.002418525331316035,0.0004479223131423904,0.0005413538914771365,0.002339361482584783,0.0004153878628615737,0.000395117910383765,105.0,100.0
0.3284947872161865,118,LOCALLY_SOLVED,0.0005016516321449567,rwlav,100.0,rIVR,0.0023984950932827154,0.00043451434420371804,0.0005387722657386185,0.00233861967142353,0.0004156287215276985,0.00039532109741920103,102.0,100.0
