ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,n_meas
1,1,1.0399999618530273,118,LOCALLY_SOLVED,135.05916520130967,rwlav,100.0,rIVR,mumps,1.0e-5,0.0024443930508666334,0.0010964756455386776,168
1,1,1.1150000095367432,118,LOCALLY_SOLVED,132.8341274622161,rwlav,100.0,rIVR,mumps,1.0e-5,0.00250269969550998,0.001096413716780115,167
1,1,1.2400000095367432,118,LOCALLY_SOLVED,130.56605140088104,rwlav,100.0,rIVR,mumps,1.0e-5,0.0025194873310105947,0.001097934236141184,166
1,1,1.0850000381469727,118,LOCALLY_SOLVED,128.25892511309218,rwlav,100.0,rIVR,mumps,1.0e-5,0.0027893480945389015,0.0010982625532695025,165
1,1,1.0059998035430908,118,LOCALLY_SOLVED,127.04707836698992,rwlav,100.0,rIVR,mumps,1.0e-5,0.002791049458992889,0.0010983662175642404,164
1,1,1.0309998989105225,118,LOCALLY_SOLVED,124.64200435571871,rwlav,100.0,rIVR,mumps,1.0e-5,0.00284389933973217,0.0011046400846404009,163
1,1,1.1080000400543213,118,LOCALLY_SOLVED,121.00813770491686,rwlav,100.0,rIVR,mumps,1.0e-5,0.0031072895204762307,0.0011089518272482835,162
1,1,1.057999849319458,118,LOCALLY_SOLVED,118.55768913006571,rwlav,100.0,rIVR,mumps,1.0e-5,0.0030617939773782687,0.0011063320678060514,161
1,1,1.1019999980926514,118,LOCALLY_SOLVED,115.87773463996284,rwlav,100.0,rIVR,mumps,1.0e-5,0.003039926985122232,0.0011014037487677216,160
1,1,1.0079998970031738,118,LOCALLY_SOLVED,113.27820081086324,rwlav,100.0,rIVR,mumps,1.0e-5,0.0035367826856682605,0.0011177143375090204,159
1,1,0.9340000152587891,118,LOCALLY_SOLVED,110.71847482482399,rwlav,100.0,rIVR,mumps,1.0e-5,0.0031626764195693546,0.0011033914975042977,158
1,1,0.9199998378753662,118,LOCALLY_SOLVED,108.41523054302249,rwlav,100.0,rIVR,mumps,1.0e-5,0.0030419736886637683,0.001094650748047382,157
1,1,0.931999921798706,118,LOCALLY_SOLVED,107.00740979724304,rwlav,100.0,rIVR,mumps,1.0e-5,0.0030013630649750045,0.0010869122891975528,156
1,1,0.9090001583099365,118,LOCALLY_SOLVED,104.73707423955838,rwlav,100.0,rIVR,mumps,1.0e-5,0.0030069955803451176,0.0010808938666127931,155
1,1,0.9389998912811279,118,LOCALLY_SOLVED,102.6162215134648,rwlav,100.0,rIVR,mumps,1.0e-5,0.003541939824063478,0.0011074100743390775,154
1,1,1.003000020980835,118,LOCALLY_SOLVED,102.49251519377803,rwlav,100.0,rIVR,mumps,1.0e-5,0.0035399120492070058,0.0011090083567557698,153
1,1,1.0909998416900635,118,LOCALLY_SOLVED,97.96686429692164,rwlav,100.0,rIVR,mumps,1.0e-5,0.005806638985497381,0.0011358194990158284,152
1,1,0.9529998302459717,118,LOCALLY_SOLVED,97.81582660785845,rwlav,100.0,rIVR,mumps,1.0e-5,0.005862753918800312,0.0011339156811439367,151
1,1,1.189000129699707,118,LOCALLY_SOLVED,95.22737566248408,rwlav,100.0,rIVR,mumps,1.0e-5,0.005870512048516963,0.0011247299752215007,150
1,1,1.1559998989105225,118,LOCALLY_SOLVED,94.76562211036847,rwlav,100.0,rIVR,mumps,1.0e-5,0.005865788364854518,0.0011304063248076593,149
1,1,1.1480000019073486,118,LOCALLY_SOLVED,93.01842359902496,rwlav,100.0,rIVR,mumps,1.0e-5,0.005866366091702657,0.0011468355343317162,148
1,1,1.309000015258789,118,LOCALLY_SOLVED,91.32456222558608,rwlav,100.0,rIVR,mumps,1.0e-5,0.005858467391255173,0.0011417878581021692,147
1,1,1.3350000381469727,118,LOCALLY_SOLVED,91.15961373296949,rwlav,100.0,rIVR,mumps,1.0e-5,0.005858028059953613,0.001144247245598014,146
1,1,1.1089999675750732,118,LOCALLY_SOLVED,91.02034248207896,rwlav,100.0,rIVR,mumps,1.0e-5,0.005858559317145184,0.0011439742706012858,145
1,1,1.065000057220459,118,LOCALLY_SOLVED,90.89548728689914,rwlav,100.0,rIVR,mumps,1.0e-5,0.005855460588375827,0.0011500181358641013,144
1,1,1.180999994277954,118,LOCALLY_SOLVED,90.10799079425932,rwlav,100.0,rIVR,mumps,1.0e-5,0.005856029002234031,0.0011440616323397479,143
1,1,1.1019999980926514,118,LOCALLY_SOLVED,89.54097913028596,rwlav,100.0,rIVR,mumps,1.0e-5,0.006181237284617058,0.001138334883359097,142
1,1,0.999000072479248,118,LOCALLY_SOLVED,88.45627593952922,rwlav,100.0,rIVR,mumps,1.0e-5,0.006188317044346858,0.0011277970397327306,141
1,1,0.9699997901916504,118,LOCALLY_SOLVED,88.16991879015102,rwlav,100.0,rIVR,mumps,1.0e-5,0.006190550259660865,0.0011319032589142827,140
1,1,0.9900000095367432,118,LOCALLY_SOLVED,88.08377079564701,rwlav,100.0,rIVR,mumps,1.0e-5,0.006184213726538879,0.0011339396952338974,139
1,1,0.9599997997283936,118,LOCALLY_SOLVED,87.44919509946803,rwlav,100.0,rIVR,mumps,1.0e-5,0.006193955993829325,0.001138215524033248,138
1,1,1.0279998779296875,118,LOCALLY_SOLVED,87.3254294854073,rwlav,100.0,rIVR,mumps,1.0e-5,0.005427806779259248,0.001132539981101095,137
1,1,1.8919999599456787,118,LOCALLY_SOLVED,87.08155691687207,rwlav,100.0,rIVR,mumps,1.0e-5,0.005443361277626568,0.0011484762103422998,136
