solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,err_max_1,err_max_2,err_max_3,err_avg_1,err_avg_2,err_avg_3,n_meas,pbase
1.1596829891204834,118,LOCALLY_SOLVED,2.2954637745946465,rwlav,100.0,rIVR,0.00016270881357249856,0.000195989662018059,0.00024514233519634665,4.495933736002106e-5,5.7139733553522846e-5,0.00013720107096624058,168.0,100.0
0.4406259059906006,118,LOCALLY_SOLVED,1.8085975855008098,rwlav,100.0,rIVR,0.00016280188562833864,0.0001959990538853429,0.00024518338646317694,4.498011981299429e-5,5.7142132933328797e-5,0.0001372118938441753,165.0,100.0
0.7383229732513428,118,LOCALLY_SOLVED,1.4741927999906994,rwlav,100.0,rIVR,0.00017603143320532588,0.0001431899739468001,0.00014699473217683057,5.593120339431234e-5,2.7143706653228118e-5,5.357650185342755e-5,162.0,100.0
0.5559699535369873,118,LOCALLY_SOLVED,0.3477868751320441,rwlav,100.0,rIVR,0.003846983586011321,0.0004851466406141647,0.0009632802625063608,0.0018646105668681861,0.0003389030142943459,0.0003773375015954678,159.0,100.0
0.44774913787841797,118,LOCALLY_SOLVED,0.20337333761427476,rwlav,100.0,rIVR,0.0023733517849513497,0.0007548245090733818,0.000750447295371437,0.00206709529180198,0.00036325699958041384,0.0003541207089542646,156.0,100.0
0.5236899852752686,118,LOCALLY_SOLVED,0.11699892326726619,rwlav,100.0,rIVR,0.003695512223262476,0.00047554323715703894,0.0009070078193245124,0.0022387008453773802,0.0003934663061656668,0.00044733127828757,153.0,100.0
0.49600791931152344,118,LOCALLY_SOLVED,0.11467116994477584,rwlav,100.0,rIVR,0.0038047368088560685,0.0004314399974942873,0.0009084366375617936,0.0022357755102365632,0.00038874940013955417,0.000460935056841561,150.0,100.0
0.5226600170135498,118,LOCALLY_SOLVED,0.09561027915435942,rwlav,100.0,rIVR,0.004074547913504478,0.00043089202128721027,0.0007515133785636063,0.0022654471039863606,0.00038934624025423875,0.00040540758868944825,147.0,100.0
0.47482895851135254,118,LOCALLY_SOLVED,0.09552012867858775,rwlav,100.0,rIVR,0.004079237242190725,0.00043149127013020205,0.0007520021097042751,0.0022658379894855796,0.000389669976390241,0.0004061907541554267,144.0,100.0
0.5412390232086182,118,LOCALLY_SOLVED,0.08750436572060388,rwlav,100.0,rIVR,0.004700432688450995,0.0031618496703258447,0.0032189474237294124,0.0022280118724265865,0.0004559064019215189,0.0004370270968472566,141.0,100.0
0.5632891654968262,118,LOCALLY_SOLVED,0.067863970197966,rwlav,100.0,rIVR,0.008954525587201001,0.011926239769736169,0.01087960506851593,0.0023194634362200977,0.0006319703669866629,0.0006066807074440842,138.0,100.0
0.4737820625305176,118,LOCALLY_SOLVED,0.06516623016755926,rwlav,100.0,rIVR,0.008854048631739886,0.011820268506568476,0.010788568439724755,0.0023215462907665465,0.000628480678678156,0.0006095146738459266,135.0,100.0
0.4698011875152588,118,LOCALLY_SOLVED,0.06409173768757384,rwlav,100.0,rIVR,0.009007636479125614,0.012273156023191678,0.011132688077135855,0.0023386802316006593,0.000641332433222062,0.0006149975160688434,132.0,100.0
0.4397599697113037,118,LOCALLY_SOLVED,0.06362767863776833,rwlav,100.0,rIVR,0.008279388401625454,0.012128743196815783,0.010944163636881221,0.0023226452067063967,0.0006353688743068055,0.0006107448405748942,129.0,100.0
0.4762740135192871,118,LOCALLY_SOLVED,0.06213743356235273,rwlav,100.0,rIVR,0.007872463631815707,0.011871206634154419,0.010687871686205996,0.002328950116856886,0.0006304456103438792,0.0006062509258024265,126.0,100.0
0.49027585983276367,118,LOCALLY_SOLVED,0.05257475209511691,rwlav,100.0,rIVR,0.0049230645333038225,0.007865224044384611,0.007289000630099185,0.0023383671335962344,0.0005444707479152649,0.0005258339183349581,123.0,100.0
0.488908052444458,118,LOCALLY_SOLVED,0.05200212265563588,rwlav,100.0,rIVR,0.005162296558919088,0.008149259438204215,0.0075415116353547695,0.0023399616278079335,0.0005625702804563272,0.000530141556921683,120.0,100.0
0.40156006813049316,118,LOCALLY_SOLVED,0.05105781467298573,rwlav,100.0,rIVR,0.0051258912992020456,0.008166024546080397,0.0075522502610547715,0.0023408592564128647,0.0005694792865937354,0.0005212848230582152,117.0,100.0
0.5188519954681396,118,LOCALLY_SOLVED,0.04774450156313614,rwlav,100.0,rIVR,0.005286219475375331,0.007715450297704818,0.00956098577286757,0.00236893927566094,0.0005884461428924949,0.0006107697032787476,114.0,100.0
0.5423049926757812,118,LOCALLY_SOLVED,0.03723505302836044,rwlav,100.0,rIVR,0.012195445695240892,0.00952046676297047,0.03571844212002251,0.0025239917960530947,0.0007725767714076669,0.0008606604460779156,111.0,100.0
0.42987799644470215,118,LOCALLY_SOLVED,0.035368981042839184,rwlav,100.0,rIVR,0.01214695955823597,0.009306416071593215,0.03150565859298626,0.0025174566481478027,0.000788973051277054,0.0008523693900322482,108.0,100.0
0.5496189594268799,118,LOCALLY_SOLVED,0.03534605751904837,rwlav,100.0,rIVR,0.012156384677138199,0.009284962048567102,0.030488764553009196,0.0025203281812482153,0.0007886335409193959,0.000856425671793993,105.0,100.0
0.4109940528869629,118,LOCALLY_SOLVED,0.034451961024657383,rwlav,100.0,rIVR,0.012146424093694819,0.009421002066345885,0.03446529993021863,0.002515854171898536,0.0007818664957662964,0.0008467549138096263,102.0,100.0
0.5655829906463623,118,LOCALLY_SOLVED,0.028606934809070624,rwlav,100.0,rIVR,0.012120432075774623,0.00939726627144899,0.035542284298772486,0.0025018222328926478,0.0007704907890362754,0.0008565085005994383,99.0,100.0
