ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,err_max_1,err_max_2,err_max_3,err_avg_1,err_avg_2,err_avg_3,pbase
1,1,0.04168200492858887,118,OPTIMAL,0.47613614464013587,rwlav,1000.0,LD3F,0.00023935361193871962,0.0003839998198598149,0.0005326739325981489,0.00010084098038249681,0.00014602796664852448,0.0004037750653024008,1.0
1,2,0.018379926681518555,67,OPTIMAL,0.24852201647245667,rwlav,1000.0,LD3F,0.00013057050709464058,0.00016417563245529898,2.952955680313174e-5,0.00011127691994205549,0.00012530904386573409,1.8917435874231123e-5,1.0
1,3,0.028699874877929688,82,OPTIMAL,0.34895861256873045,rwlav,1000.0,LD3F,0.000202229671574905,0.0004701596232705718,0.00036700733488426174,0.00010484763529870936,0.00024740618952467794,0.0002469832883265172,1.0
1,4,0.08243703842163086,157,OPTIMAL,0.8943452294280386,rwlav,1000.0,LD3F,0.0010578785067187901,0.000410449902887855,0.00046467923239568165,0.0003880458597741167,0.0001539441855052403,0.0004052456821011925,1.0
2,1,0.22896814346313477,364,OPTIMAL,2.034245701320926,rwlav,1000.0,LD3F,0.0009690367080543716,0.0006824083158765148,0.000498398994940974,0.00019046243174192356,0.0002766009193817983,0.00015039786424733234,1.0
2,2,0.21498489379882812,283,OPTIMAL,1.8487700374035085,rwlav,1000.0,LD3F,0.000696742386673499,0.00045279617950866324,0.0004657803928207471,0.0003006745805232015,0.00020832670634792101,0.0002564580649343722,1.0
2,3,0.13245701789855957,232,OPTIMAL,1.2192146282158967,rwlav,1000.0,LD3F,0.0005597801756325183,0.0005126077506838467,0.0005021789528094622,0.0002151380985376797,0.00026912592362818863,0.0002923715932438325,1.0
2,4,0.11505794525146484,247,OPTIMAL,2.0380991883566724,rwlav,1000.0,LD3F,0.0008992815683133148,0.0004901926568297021,0.00046328604252621197,0.0003298173849215693,0.00017956575125833944,0.0002996802549234491,1.0
2,5,0.012530803680419922,53,OPTIMAL,0.1788687678782561,rwlav,1000.0,LD3F,0.00013217138108845283,0.0001343714419539399,0.00017182311071106682,7.454223133715099e-5,9.708897695158975e-5,0.00015676922637833116,1.0
3,1,0.10555887222290039,191,OPTIMAL,0.8797981184693546,rwlav,1000.0,LD3F,0.0002408539144413968,0.0002408539144413968,0.0004474142545369819,3.963878746466248e-5,0.00016726357405755842,0.0002802693891825096,1.0
3,2,0.0698549747467041,141,OPTIMAL,0.6779540913146442,rwlav,1000.0,LD3F,0.0008302527363752699,0.0003888922977148823,0.00044281101259513456,0.00023277078946130596,0.00028258105562226256,0.00039411153658162467,1.0
3,3,0.1361708641052246,208,OPTIMAL,0.9971709596448598,rwlav,1000.0,LD3F,0.001101361461787853,0.00042459943922579235,0.00036687835469817465,0.00017208005761925306,0.0001740635625864165,0.0002922009014892005,1.0
3,4,0.029499053955078125,79,OPTIMAL,0.3065362187562049,rwlav,1000.0,LD3F,0.0001931483584607374,0.000388619627490705,0.00019498509711768364,4.289834288771056e-5,0.00012859481625071274,0.0001216453334447353,1.0
3,5,0.012415170669555664,44,OPTIMAL,0.14898090888114446,rwlav,1000.0,LD3F,0.00023603631351543086,1.2167303392485174e-5,1.4057179762549943e-5,4.9481465491453674e-5,9.933890142727053e-6,1.1623544738805578e-5,1.0
3,6,0.04060482978820801,103,OPTIMAL,0.33058772409834064,rwlav,1000.0,LD3F,0.000234435883006201,0.0002517304590103908,0.0003000475631351751,0.00019815721329658406,0.00021033926694405107,0.0002541409080278889,1.0
4,1,0.01686692237854004,54,OPTIMAL,0.14739142405387415,rwlav,1000.0,LD3F,0.00012616553397459818,0.00012649357435323694,0.000157822424846632,0.00011072001413537225,0.00011759325494575401,0.00014382254472189437,1.0
4,2,0.010233879089355469,36,OPTIMAL,0.10864629617703689,rwlav,1000.0,LD3F,5.781259768156133e-5,1.2167303392485174e-5,1.563596818798807e-5,3.990567746037541e-5,7.927393335062218e-6,9.577374044756399e-6,1.0
4,3,0.009752035140991211,40,OPTIMAL,0.1255120687072031,rwlav,1000.0,LD3F,5.168410550759894e-5,1.2167303392485174e-5,1.2551579360309262e-5,3.810599477179488e-5,5.480100271829102e-6,5.114856082000241e-6,1.0
