ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,n_meas
1,1,0.6619999408721924,118,LOCALLY_SOLVED,93.26411183503231,rwlav,100.0,rIVR,mumps,1.0e-5,0.004091853413461299,0.003295359169655358,166
1,1,0.8359999656677246,118,LOCALLY_SOLVED,90.4492951450343,rwlav,100.0,rIVR,mumps,1.0e-5,0.004102340635071755,0.0032942702144712734,164
1,1,0.8139998912811279,118,LOCALLY_SOLVED,84.50589121529192,rwlav,100.0,rIVR,mumps,1.0e-5,0.0041450911150289205,0.0032944555281564187,162
1,1,0.7699999809265137,118,LOCALLY_SOLVED,84.47387834859194,rwlav,100.0,rIVR,mumps,1.0e-5,0.004138424567269983,0.0032884218844537612,160
1,1,0.7939999103546143,118,LOCALLY_SOLVED,77.1456626567147,rwlav,100.0,rIVR,mumps,1.0e-5,0.004244187624797169,0.0032908692609893045,158
1,1,0.7070000171661377,118,LOCALLY_SOLVED,75.8978698766125,rwlav,100.0,rIVR,mumps,1.0e-5,0.004566541605010022,0.003260785497959632,156
1,1,0.6620001792907715,118,LOCALLY_SOLVED,73.59926643897236,rwlav,100.0,rIVR,mumps,1.0e-5,0.004990773167060425,0.0032791419503951525,154
1,1,0.6660001277923584,118,LOCALLY_SOLVED,72.29122792685223,rwlav,100.0,rIVR,mumps,1.0e-5,0.007190243254437956,0.0032986846496828827,152
1,1,0.5939998626708984,118,LOCALLY_SOLVED,68.41899532576863,rwlav,100.0,rIVR,mumps,1.0e-5,0.00713378647908014,0.0032812246561970794,150
1,1,0.6770000457763672,118,LOCALLY_SOLVED,65.030511594139,rwlav,100.0,rIVR,mumps,1.0e-5,0.012912863887081905,0.003292175352600997,148
1,1,0.5780000686645508,118,LOCALLY_SOLVED,62.55210298303306,rwlav,100.0,rIVR,mumps,1.0e-5,0.010635801065248973,0.0032848173545241177,146
1,1,0.5910000801086426,118,LOCALLY_SOLVED,58.91395548299735,rwlav,100.0,rIVR,mumps,1.0e-5,0.007413885085680194,0.0033018662047633414,144
1,1,0.5439999103546143,118,LOCALLY_SOLVED,57.69562138669297,rwlav,100.0,rIVR,mumps,1.0e-5,0.012636518629990823,0.0033356299789694868,142
