ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol
5,2,0.10534787178039551,40,LOCALLY_SOLVED,38.49834608172659,rwlav,1000.0,rIVR,ma27,1.0e-5
5,3,0.8641870021820068,317,OPTIMAL,258.7082501077175,rwlav,1000.0,rIVR,gurobi,1.0e-5
5,3,1.2377548217773438,317,LOCALLY_SOLVED,242.62763899730695,rwlav,1000.0,rIVR,ma27,1.0e-5
5,4,0.045935869216918945,65,OPTIMAL,73.82271768693393,rwlav,1000.0,rIVR,gurobi,1.0e-5
5,4,0.153519868850708,65,LOCALLY_SOLVED,56.25294603523425,rwlav,1000.0,rIVR,ma27,1.0e-5
5,5,0.14090204238891602,104,OPTIMAL,105.70785262812949,rwlav,1000.0,rIVR,gurobi,1.0e-5
5,5,0.341569185256958,104,LOCALLY_SOLVED,84.48258250482856,rwlav,1000.0,rIVR,ma27,1.0e-5
5,6,0.021706104278564453,38,OPTIMAL,57.77168637026517,rwlav,1000.0,rIVR,gurobi,1.0e-5
5,6,0.09984207153320312,38,LOCALLY_SOLVED,37.01773098516849,rwlav,1000.0,rIVR,ma27,1.0e-5
5,7,0.02845621109008789,48,OPTIMAL,62.155473059186434,rwlav,1000.0,rIVR,gurobi,1.0e-5
5,7,0.10623383522033691,48,LOCALLY_SOLVED,45.890721111282076,rwlav,1000.0,rIVR,ma27,1.0e-5
5,8,0.08509087562561035,84,OPTIMAL,84.62257250246942,rwlav,1000.0,rIVR,gurobi,1.0e-5
5,8,0.16711807250976562,84,LOCALLY_SOLVED,68.08607825481158,rwlav,1000.0,rIVR,ma27,1.0e-5
6,1,0.32886600494384766,201,OPTIMAL,208.291565089824,rwlav,1000.0,rIVR,gurobi,1.0e-5
6,1,0.5662810802459717,201,LOCALLY_SOLVED,184.9812629603714,rwlav,1000.0,rIVR,ma27,1.0e-5
6,2,0.08886981010437012,89,OPTIMAL,124.17186945560708,rwlav,1000.0,rIVR,gurobi,1.0e-5
6,2,0.25644588470458984,89,LOCALLY_SOLVED,91.75753840820246,rwlav,1000.0,rIVR,ma27,1.0e-5
7,1,0.15207505226135254,139,OPTIMAL,127.46644611472921,rwlav,1000.0,rIVR,gurobi,1.0e-5
7,1,0.37450504302978516,139,LOCALLY_SOLVED,116.91237130278431,rwlav,1000.0,rIVR,ma27,1.0e-5
7,2,0.15241599082946777,121,OPTIMAL,117.4063236278541,rwlav,1000.0,rIVR,gurobi,1.0e-5
7,2,0.31077003479003906,121,LOCALLY_SOLVED,97.74080399592835,rwlav,1000.0,rIVR,ma27,1.0e-5
7,3,0.08848881721496582,107,OPTIMAL,109.42949086427745,rwlav,1000.0,rIVR,gurobi,1.0e-5
