meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,par_1,par_2
132,bus,58,G,vm,"[1, 2, 3]",Normal,"[1.01432667072903, 1.0187584217262917, 1.0089388682696654]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
133,load,15,G,pd,1,Normal,-1.1081013280000002e-5,0.0003333333333333333
134,load,15,G,qd,1,Normal,-4.895630905005315e-6,0.0003333333333333333
135,bus,107,G,vm,"[1, 2, 3]",Normal,"[1.0035797918543896, 1.0038439613789523, 1.0022439384277717]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
136,load,16,G,pd,1,Normal,-8.886297100000002e-6,0.0003333333333333333
137,load,16,G,qd,1,Normal,-4.005247338184656e-6,0.0003333333333333333
138,bus,55,G,vm,"[1, 2, 3]",Normal,"[1.0151589327644643, 1.0176002236217494, 1.0086838917624237]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
139,load,40,G,pd,2,Normal,-1.278972946e-5,0.0003333333333333333
140,load,40,G,qd,2,Normal,-5.634261020464893e-6,0.0003333333333333333
141,bus,71,G,vm,"[1, 2, 3]",Normal,"[1.010661798630155, 1.018280222527633, 1.0118242397363126]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
142,load,46,G,pd,2,Normal,-1.270972946e-5,0.0003333333333333333
143,load,46,G,qd,2,Normal,-5.6092810284712985e-6,0.0003333333333333333
144,bus,20,G,vm,"[1, 2, 3]",Normal,"[1.0106930179837896, 1.016697538524707, 1.0108697778871023]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
145,load,38,G,pd,1,Normal,-8.71572946e-6,0.0003333333333333333
146,load,38,G,qd,1,Normal,-4.362154928191138e-6,0.0003333333333333333
147,bus,91,G,vm,"[1, 2, 3]",Normal,"[1.0072129113519948, 1.0085925066540895, 1.00532315025818]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
148,load,21,G,pd,3,Normal,-1.235572946e-5,0.0003333333333333333
149,load,21,G,qd,3,Normal,-5.498744563899648e-6,0.0003333333333333333
150,bus,40,G,vm,"[1, 2, 3]",Normal,"[1.0098866131639639, 1.019052224229011, 1.0139621921661686]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
151,load,45,G,pd,2,Normal,-1.104101328e-5,0.0003333333333333333
152,load,45,G,qd,2,Normal,-4.883140909008518e-6,0.0003333333333333333
153,bus,80,G,vm,"[1, 2, 3]",Normal,"[1.0101592617732298, 1.0196432457184827, 1.0126063840808606]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
154,load,36,G,pd,2,Normal,-5.952297100000001e-6,0.0003333333333333333
155,load,36,G,qd,2,Normal,-3.0891061318196108e-6,0.0003333333333333333
156,bus,21,G,vm,"[1, 2, 3]",Normal,"[1.0144342859203936, 1.0187204988399103, 1.0088472284846723]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
157,load,48,G,pd,1,Normal,-9.3922971e-6,0.0003333333333333333
158,load,48,G,qd,1,Normal,-4.163245787544136e-6,0.0003333333333333333
159,bus,90,G,vm,"[1, 2, 3]",Normal,"[1.0119742937224565, 1.014421594501786, 1.0092862067110209]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
160,load,18,G,pd,2,Normal,-1.163972946e-5,0.0003333333333333333
161,load,18,G,qd,2,Normal,-5.275173635556985e-6,0.0003333333333333333
162,bus,26,G,vm,"[1, 2, 3]",Normal,"[1.0087627911443808, 1.0124312883765465, 1.0076013437990943]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
163,load,30,G,pd,2,Normal,-7.77358091e-6,0.0003333333333333333
164,load,30,G,qd,2,Normal,-3.4527181587184512e-6,0.0003333333333333333
165,bus,44,G,vm,"[1, 2, 3]",Normal,"[1.0095060274026175, 1.0201415659693207, 1.0132329184483466]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
166,load,3,G,pd,2,Normal,-6.124864729999999e-6,0.0003333333333333333
167,load,3,G,qd,2,Normal,-2.7328230372540675e-6,0.0003333333333333333
168,bus,102,G,vm,"[1, 2, 3]",Normal,"[1.0045715110801563, 1.0059444701917994, 1.0033928376296062]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
